Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
"The Travelers Companies, Inc.",2014,2015-04-17,221.0,0.0009228670971378,0.5225828720136535,-0.021557296553285,-0.0592474611556834,-0.0250459028578199,0.021557296553285,Travelers,1.8571428571428568,80.0,0.2142857142857142,0.175,0.0875,both,,True,False,1.8192377156712813,4.382026634673881
"The Travelers Companies, Inc.",2015,2016-04-15,221.0,0.0005381325533478,0.72800414297341,-0.0039423021341912,-0.014719270822488,0.0021832609006521,0.0039423021341912,Travelers,1.5714285714285714,143.0,0.3571428571428571,0.0979020979020979,0.0419580419580419,both,,True,False,0.5745983633235491,4.962844630259907
"The Travelers Companies, Inc.",2016,2017-04-13,221.0,0.0001027384509674,0.5972201069043381,0.0078334731764806,-0.0001512544367424,0.0039432205889143,0.0078334731764806,Travelers,1.681818181818182,140.0,0.4090909090909091,0.1571428571428571,0.0714285714285714,both,,True,False,1.055481749457902,4.941642422609304
"The Travelers Companies, Inc.",2017,2018-04-13,221.0,0.000281196997871,0.7232071004805837,-0.0011930574590235,-0.015667686232137,-0.0014069801494358,0.0011930574590235,Travelers,1.7741935483870968,175.0,0.3548387096774194,0.1771428571428571,0.0857142857142857,both,,True,False,1.4578908069251666,5.1647859739235145
"The Travelers Companies, Inc.",2018,2019-04-12,221.0,-8.02455373091364e-05,0.7923641850085329,0.0054651110032195,0.0155338085338219,-0.0010186329506213,0.0054651110032195,Travelers,1.3529411764705883,171.0,0.4117647058823529,0.0994152046783625,0.0292397660818713,both,,True,False,-0.3771846708247174,5.14166355650266
"The Travelers Companies, Inc.",2019,2020-04-13,221.0,-0.0005291274268943,0.7261854302443063,0.0067005878771945,-0.0060112321811752,-0.0262978086101908,0.0067005878771945,Travelers,1.2857142857142858,184.0,0.2857142857142857,0.1141304347826086,0.0326086956521739,both,,True,True,-0.6700409890241841,5.214935757608986
"The Travelers Companies, Inc.",2020,2021-04-09,221.0,-0.0002140786034254,1.1467968120235852,-0.0143795849999271,-0.0145180522320706,0.0060280547527521,0.0143795849999271,Travelers,1.5294117647058822,196.0,0.4901960784313725,0.2602040816326531,0.1071428571428571,both,,True,False,0.39156316444888206,5.278114659230517
"The Travelers Companies, Inc.",2021,2022-04-08,221.0,0.0006233244611225,0.7098839604087576,0.0244973247871783,0.0370443178139181,0.0308884598156159,0.0244973247871783,Travelers,1.351351351351351,178.0,0.4054054054054054,0.2078651685393258,0.0674157303370786,both,,True,False,-0.3841103269983549,5.181783550292085
"The Travelers Companies, Inc.",2022,2023-04-14,221.0,0.0002843241643752,0.4671619032872803,-0.020972969900387,-0.0164843256622531,-0.010743437494343,0.020972969900387,Travelers,1.2580645161290325,193.0,0.4838709677419355,0.160621761658031,0.0310880829015544,both,,True,False,-0.7904899586062223,5.262690188904886
"The Travelers Companies, Inc.",2023,2024-04-26,221.0,0.0007066323064298,0.4182590013896196,-0.0084280950817538,-0.0110407856957337,-0.0118396600904311,0.0084280950817538,Travelers,1.3571428571428572,213.0,0.5,0.0657276995305164,0.0234741784037558,both,,True,False,-0.35888115093725076,5.3612921657094255
